WATER_SYSTEM_NUMBER,SYSTEM_NAME,COUNTY,LATITUDE_MEASURE,LONGITUDE_MEASURE,FINAL_SAFER_STATUS,SERVICE_CONNECTIONS,POPULATION,OWNER_TYPE,FEDERAL_CLASSIFICATION_TYPE,CALENVIRO_SCREEN_SCORE,MHI,SERVICE_AREA_ECONOMIC_STATUS
CA0103040,NORRIS CANYON PROPERTY OWNERS ASSN,ALAMEDA,37.734364,-122.027303,Not At-Risk,19,50,PRIVATE,COMMUNITY,13.969586080979,130464,Non-DAC
CA0103041,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,37.715083,-122.146916,Not At-Risk,191,459,PRIVATE,COMMUNITY,31.3849712377491,61897,DAC
CA0105008,CASTLEWOOD DOMESTIC WATER SYSTEM,ALAMEDA,37.368848,-121.913031,Not At-Risk,207,524,LOCAL,COMMUNITY,10.0744524552284,178706,Non-DAC
CA0105009,MOUNTAIN HOUSE SCHOOL,ALAMEDA,37.787218,-121.57868,At-Risk,1,50,LOCAL,NON-TRANSIENT NON-COMMUNITY,16.3819974683625,140487,Non-DAC
CA0110001,ALAMEDA COUNTY WATER DISTRICT,ALAMEDA,37.537762,-122.019898,Not Assessed,86959,344000,LOCAL,COMMUNITY,21.844306424367,157713,Non-DAC
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,ALAMEDA,37.674081,-121.773454,Not At-Risk,18595,60414,PRIVATE,COMMUNITY,13.4832493648639,148653,Non-DAC
CA0110005,EAST BAY MUD,ALAMEDA,37.900147,-122.299454,Not Assessed,392875,1442800,LOCAL,COMMUNITY,18.3369886254808,132174,Non-DAC
CA0110006,CITY OF HAYWARD,ALAMEDA,37.645,-122.078752,Not Assessed,36838,162954,LOCAL,COMMUNITY,26.8680676445056,109180,Non-DAC
CA0110008,CITY OF PLEASANTON,ALAMEDA,37.661605,-121.886427,Not At-Risk,22334,76689,LOCAL,COMMUNITY,10.5447168280165,176277,Non-DAC
CA0110009,DUBLIN SAN RAMON SERVICES DISTRICT,ALAMEDA,37.731683,-121.899725,Not At-Risk,25458,98776,LOCAL,COMMUNITY,9.50999826707037,194999,Non-DAC
CA0110010,ZONE 7 WATER AGENCY,ALAMEDA,37.633267,-121.735897,Not Assessed,12,40,LOCAL,COMMUNITY,12.628926309318,168043,Non-DAC
CA0110011,CITY OF LIVERMORE,ALAMEDA,37.716502,-121.763702,Not At-Risk,9958,38892,LOCAL,COMMUNITY,14.0237142980054,148661,Non-DAC
CA0110012,TOWN OF SUNOL - SFPUC,ALAMEDA,37.60018,-121.887875,Not At-Risk,102,281,LOCAL,COMMUNITY,6.41665021246749,167250,Non-DAC
CA0110016,ALAMEDA POINT,ALAMEDA,37.784265,-122.310715,Not At-Risk,378,1400,LOCAL,COMMUNITY,41.7994030133841,14094,SDAC
CA0110018,SFPUC-PLEASANTON WELLS,ALAMEDA,37.634866,-121.893871,Not Assessed,1,1,LOCAL,COMMUNITY,9.51399252289364,178226,Non-DAC
CA0202501,DIAMOND VALLEY SCHOOL,ALPINE,38.766353,-119.80846,Not At-Risk,5,100,PRIVATE,NON-TRANSIENT NON-COMMUNITY,13.6151637006617,57500,SDAC
CA0202503,WOODFORDS MUTUAL WATER COMPANY,ALPINE,38.773834,-119.817313,Not At-Risk,16,50,PRIVATE,COMMUNITY,13.6151637006617,57500,SDAC
CA0202504,MARKLEEVILLE WATER CO.,ALPINE,38.689366,-119.796962,Not At-Risk,167,175,PRIVATE,COMMUNITY,13.6151637006617,82321,Non-DAC
CA0202522,SIERRA PINES MOBILE HOME PARK,ALPINE,38.757564,-119.817858,Potentially At-Risk,32,70,PRIVATE,COMMUNITY,13.6151637006617,57500,SDAC
CA0202599,ALPINE EARLY LEARNING CENTER,ALPINE,38.76633,-119.808584,Not Assessed,1,35,PRIVATE,NON-TRANSIENT NON-COMMUNITY,13.6151637006617,57500,SDAC
CA0210001,LAKE ALPINE WATER COMPANY,ALPINE,38.466442,-120.042409,At-Risk,493,625,PRIVATE,COMMUNITY,13.6151637006617,93625,Non-DAC
CA0210002,KIRKWOOD MEADOWS PUBLIC UTILITY DISTRICT,ALPINE,38.692589,-120.071985,Failing,867,7851,LOCAL,COMMUNITY,14.3436241689084,74781,DAC
CA0300010,DRYTOWN COUNTY WATER DISTRICT,AMADOR,38.439191,-120.862956,Not At-Risk,67,221,LOCAL,COMMUNITY,18.4476415954323,61193,DAC
CA0300011,SUTTER PINES MHP,AMADOR,38.360145,-120.749669,Failing,20,40,PRIVATE,COMMUNITY,26.3320336713569,60458,DAC
CA0300016,VOLCANO COMMUNITY SERVICE DIST,AMADOR,38.443606,-120.629933,Not At-Risk,73,103,LOCAL,COMMUNITY,16.4072940135362,63168,DAC
CA0300019,FIDDLETOWN COMMUNITY SERVICE,AMADOR,38.503995,-120.761098,At-Risk,66,100,LOCAL,COMMUNITY,18.4476415954323,55388,SDAC
CA0300024,FOREST POINT MHC,AMADOR,38.407076000000004,-120.64685,Potentially At-Risk,22,62,PRIVATE,COMMUNITY,19.6335915803924,55675,SDAC
CA0300037,JACKSON VALLEY IRRIGATION DISTRICT,AMADOR,38.302899,-120.891681,At-Risk,566,3553,PRIVATE,COMMUNITY,27.8581348442509,92115,Non-DAC
CA0300053,RANCHO DEL ORO MHP,AMADOR,38.481075,-120.859028,Potentially At-Risk,28,44,PRIVATE,COMMUNITY,17.6647294906815,69215,DAC
CA0300062,HOPE FOUNDATION/MORIAH HEIGHTS,AMADOR,38.479688,-121.011671,At-Risk,21,299,PRIVATE,COMMUNITY,17.6647294906815,71346,DAC
CA0300078,IONE BAND OF MIWOK INDIANS,AMADOR,38.311834,-120.97326,Failing,12,40,PRIVATE,COMMUNITY,22.6903278518089,49174,SDAC
CA0310001,CITY OF JACKSON,AMADOR,38.348632,-120.772363,Not At-Risk,2211,5019,LOCAL,COMMUNITY,26.5143420252161,67800,DAC
CA0310002,"AWA, IONE",AMADOR,38.361402,-120.933986,Potentially At-Risk,2386,7227,LOCAL,COMMUNITY,19.9620390132722,71161,DAC
CA0310003,"AWA, TANNER",AMADOR,38.393207,-120.766265,Potentially At-Risk,1758,4940,LOCAL,COMMUNITY,23.73488754609,61963,DAC
CA0310004,"PLYMOUTH, CITY OF",AMADOR,38.478972,-120.848769,Not At-Risk,535,1060,LOCAL,COMMUNITY,18.3000966085342,73750,DAC
CA0310005,PINE GROVE COMM SERV DIST,AMADOR,38.407388,-120.660608,Not At-Risk,412,1141,LOCAL,COMMUNITY,20.8255372299969,63681,DAC
CA0310006,RIVER PINES PUD,AMADOR,38.546163,-120.744983,Not At-Risk,230,574,LOCAL,COMMUNITY,18.4036593747005,34107,SDAC
CA0310008,CAMANCHE NORTH SHORE INC.,AMADOR,38.23673,-120.945095,Not At-Risk,211,922,LOCAL,COMMUNITY,27.8581348442509,52967,SDAC
CA0310011,FIRST MACE MEADOW # 1,AMADOR,38.45826,-120.537031,Not At-Risk,337,838,LOCAL,COMMUNITY,11.8893657023757,71010,DAC
CA0310012,AWA BUCKHORN PLANT,AMADOR,38.434391,-120.575909,Not At-Risk,2738,8791,LOCAL,COMMUNITY,16.5865381248933,69914,DAC
CA0310018,FIRST MACE MEADOWS UNIT NO. 2,AMADOR,38.447094,-120.539205,Not At-Risk,82,230,PRIVATE,COMMUNITY,11.8880701314766,70423,DAC
CA0310019,AWA LA MEL HEIGHTS #3,AMADOR,38.462726,-120.660761,Not At-Risk,55,188,LOCAL,COMMUNITY,18.4476415954323,44119,SDAC
CA0310021,AWA - CAMANCHE VILLAGE,AMADOR,38.263326,-120.994817,Not At-Risk,732,2402,LOCAL,COMMUNITY,27.8570894645403,92118,Non-DAC
CA0400001,YOUTH WITH A MISSION-SPRINGS OF LIVING W,BUTTE,39.839743,-121.778354,Not At-Risk,54,150,PRIVATE,COMMUNITY,9.99386393151435,71538,DAC
CA0400003,HARTLEY MUTUAL WATER SYSTEM,BUTTE,39.872156,-121.682114,Not At-Risk,15,41,LOCAL,COMMUNITY,9.99386393151435,117679,Non-DAC
CA0400004,FOREST RANCH MUTUAL WATER SYSTEM,BUTTE,39.870027,-121.681537,Potentially At-Risk,42,119,LOCAL,COMMUNITY,9.99386393151435,117679,Non-DAC
CA0400007,BUTTE CREEK ESTATES MUTUAL WATER CO,BUTTE,39.678519,-121.773131,Not At-Risk,172,399,PRIVATE,COMMUNITY,21.4424632297954,105778,Non-DAC
CA0400008,GRAN MUTUAL WATER CO,BUTTE,39.706377,-121.738504,Not At-Risk,91,290,PRIVATE,COMMUNITY,10.7816686488651,85197,Non-DAC
CA0400012,GRIDLEY FARM LABOR HOUSING,BUTTE,39.363189,-121.647586,At-Risk,135,460,LOCAL,COMMUNITY,33.0132747230357,58500,DAC
CA0400013,MERRY MOUNTAIN MUTUAL,BUTTE,39.534768,-121.167316,Not At-Risk,97,90,PRIVATE,COMMUNITY,31.4888964451554,49743,SDAC
CA0400014,LAKE MADRONE WATER DISTRICT,BUTTE,39.648655,-121.403726,Failing,123,297,LOCAL,COMMUNITY,31.4888964451554,36260,SDAC
CA0400016,BERRY CREEK COMMUNITY SERVICE DIST,BUTTE,39.638438,-121.386719,Not At-Risk,8,28,LOCAL,COMMUNITY,31.4888964451554,36260,SDAC
CA0400019,OROVILLE MOBILE HOME PARK,BUTTE,39.471107,-121.578096,Not At-Risk,35,76,PRIVATE,COMMUNITY,35.340414185939,47659,SDAC
CA0400020,PLEASANT GROVE MHP,BUTTE,39.44315,-121.553097,Potentially At-Risk,88,327,PRIVATE,COMMUNITY,26.7656338434403,36063,SDAC
CA0400021,ROBINSON'S CORNER MHP,BUTTE,39.365348,-121.609726,Failing,20,20,PRIVATE,COMMUNITY,27.3941759838388,42667,SDAC
CA0400023,GOLDEN OAKS MOBILE HOME PARK,BUTTE,39.425555,-121.606632,Potentially At-Risk,25,75,PRIVATE,COMMUNITY,27.3941759838388,42667,SDAC
CA0400026,MEADOWBROOK OAKS,BUTTE,39.641492,-121.59197,At-Risk,26,50,PRIVATE,COMMUNITY,14.8911613469442,18992,SDAC
CA0400027,FOOTHILLS MANUFACTURED HOME COMMUNUTY,BUTTE,39.659979,-121.627809,At-Risk,127,180,PRIVATE,COMMUNITY,14.8911613469442,18992,SDAC
CA0400030,GOLDEN FEATHER MHP,BUTTE,39.496694,-121.581283,Not At-Risk,101,275,PRIVATE,COMMUNITY,44.9235511681341,42792,SDAC
CA0400040,ALMOND GROVE MOBILE PARK,BUTTE,39.764573,-121.857633,At-Risk,184,253,PRIVATE,COMMUNITY,22.6607549438294,64683,DAC
CA0400042,FOREST VILLAGE LLC,BUTTE,39.875633,-121.675464,Not At-Risk,17,28,PRIVATE,COMMUNITY,9.99386393151435,117679,Non-DAC
CA0400051,DINGERVILLE USA PARK,BUTTE,39.442148,-121.605345,Not At-Risk,80,220,PRIVATE,COMMUNITY,27.3941759838388,42667,SDAC
CA0400060,HONCUT ELEMENTARY SCHOOL,BUTTE,39.328829,-121.53506,Failing,3,25,LOCAL,NON-TRANSIENT NON-COMMUNITY,27.3941759838388,42667,SDAC
CA0400062,RICHVALE ELEMENTARY SCHOOL,BUTTE,39.495333,-121.748416,Not At-Risk,4,63,LOCAL,NON-TRANSIENT NON-COMMUNITY,29.9352141832217,58333,DAC
CA0400063,MANZANITA ELEMENTARY SCHOOL,BUTTE,39.335169,-121.658725,Failing,3,295,LOCAL,NON-TRANSIENT NON-COMMUNITY,33.0132747230357,58500,DAC
CA0400067,FEATHER RIVER SCHOOL,BUTTE,39.383273,-121.610554,Failing,2,34,PRIVATE,NON-TRANSIENT NON-COMMUNITY,27.3941759838388,42667,SDAC
CA0400068,BERRY CREEK SCHOOL,BUTTE,39.625851,-121.374755,Not Assessed,2,61,LOCAL,NON-TRANSIENT NON-COMMUNITY,31.4888964451554,36260,SDAC
CA0400073,NORD COUNTRY SCHOOL,BUTTE,39.780672,-121.954944,Not At-Risk,17,230,PRIVATE,NON-TRANSIENT NON-COMMUNITY,10.5640906863941,51360,SDAC
CA0400078,FOREST KNOLLS MUTUAL WATER CO,BUTTE,39.869163,-121.670914,Not At-Risk,21,46,PRIVATE,COMMUNITY,9.99386393151435,117679,Non-DAC
CA0400079,FOREST RANCH CHARTER SCHOOL,BUTTE,39.884413,-121.667045,Not At-Risk,4,125,PRIVATE,NON-TRANSIENT NON-COMMUNITY,9.99386393151435,117679,Non-DAC
CA0400090,MOUNTAIN VILLAGE HOMEOWNER'S ASSOC,BUTTE,39.875474,-121.67928,Not At-Risk,17,40,PRIVATE,COMMUNITY,9.99386393151435,131964,Non-DAC
CA0400091,DEL ORO WATER COMPANY - BUZZTAIL DIST.,BUTTE,39.780639,-121.687223,Not At-Risk,31,106,LOCAL,COMMUNITY,9.99386393151435,76312,DAC
CA0400117,FALLING ROCK RV PARK,BUTTE,39.431858,-121.604304,At-Risk,21,25,PRIVATE,COMMUNITY,27.3941759838388,42667,SDAC
CA0400123,HUMBOLDT HIGHLANDS MUTUAL,BUTTE,39.849298,-121.68774,Not At-Risk,28,58,PRIVATE,COMMUNITY,9.99386393151435,117679,Non-DAC
CA0400149,HUMBOLDT WOODLANDS MUTUAL,BUTTE,39.853774,-121.695137,Not At-Risk,31,55,PRIVATE,COMMUNITY,9.99386393151435,131964,Non-DAC
CA0400151,KEEFER CREEK ESTATES,BUTTE,39.811119,-121.884397,Potentially At-Risk,55,160,PRIVATE,COMMUNITY,10.5640906863941,93517,Non-DAC
CA0400155,BIGGERS GLEN MUTUAL WATER CO,BUTTE,40.084361,-121.545122,Not At-Risk,18,25,PRIVATE,COMMUNITY,9.99386393151435,117679,Non-DAC
CA0400162,PLEASANT VALLEY BAPTIST CHURCH,BUTTE,39.792609,-121.892778,At-Risk,3,600,PRIVATE,NON-TRANSIENT NON-COMMUNITY,10.5640906863941,101017,Non-DAC
CA0405001,DEL ORO WATER CO.-LIME SADDLE MARINA,BUTTE,39.685088,-121.562143,Not At-Risk,282,895,PRIVATE,COMMUNITY,14.8911613469442,32969,SDAC
CA0409181,BLUE OAK TERRACE MUTUAL,BUTTE,39.737193,-121.66004,Not At-Risk,30,81,PRIVATE,COMMUNITY,26.5162779753916,52042,SDAC
CA0409183,SIERRA MOON MUTUAL WATER COMPANY,BUTTE,39.802479,-121.87962,Not At-Risk,86,120,PRIVATE,COMMUNITY,10.5640906863941,93517,Non-DAC
CA0410001,CITY OF BIGGS,BUTTE,39.413211,-121.710377,Not At-Risk,800,2060,LOCAL,COMMUNITY,29.9352141832217,66042,DAC
CA0410002,CAL-WATER SERVICE CO.-CHICO,BUTTE,39.74346,-121.831388,Not Assessed,30396,114925,PRIVATE,COMMUNITY,19.3088700689249,67214,DAC
CA0410003,DURHAM IRRIGATION DISTRICT,BUTTE,39.646124,-121.803548,Potentially At-Risk,479,1581,LOCAL,COMMUNITY,21.4424632297954,98217,Non-DAC
CA0410004,CITY OF GRIDLEY,BUTTE,39.362303,-121.69727,At-Risk,2282,7269,LOCAL,COMMUNITY,29.6500001500747,50693,SDAC
CA0410005,CAL-WATER SERVICE CO.-OROVILLE,BUTTE,39.497907,-121.558908,Potentially At-Risk,3528,11106,PRIVATE,COMMUNITY,34.8249708321996,46066,SDAC
CA0410006,SOUTH FEATHER W&P - MINERS RANCH,BUTTE,39.498135,-121.503569,Not At-Risk,6878,22664,LOCAL,COMMUNITY,21.2456898427006,65441,DAC
CA0410007,PARADISE IRRIGATION DISTRICT,BUTTE,39.756348,-121.606665,Not At-Risk,9368,9142,LOCAL,COMMUNITY,19.1708441989207,59545,DAC
CA0410008,THERMALITO WATER & SEWER DIST,BUTTE,39.542915,-121.590584,Not At-Risk,3141,12136,LOCAL,COMMUNITY,34.8126232044268,45941,SDAC
CA0410009,DEL ORO WATER CO.-MAGALIA,BUTTE,39.80533,-121.580932,Not At-Risk,103,340,PRIVATE,COMMUNITY,17.3516297793886,53903,SDAC
CA0410011,DEL ORO WATER CO.-PARADISE PINES,BUTTE,39.814842,-121.600341,Not At-Risk,3315,10940,PRIVATE,COMMUNITY,8.5949121059454,54047,SDAC
CA0410012,SOUTH FEATHER W&P - BANGOR,BUTTE,39.38361,-121.393855,Not At-Risk,22,73,LOCAL,COMMUNITY,27.3941759838388,53789,SDAC
CA0410018,DEL ORO WATER CO.-STIRLING BLUFFS,BUTTE,39.905946,-121.52805,Not At-Risk,158,521,PRIVATE,COMMUNITY,13.4129254404392,48526,SDAC
CA0500019,MINERAL MOUNTAIN MUTUAL WATER,CALAVERAS,38.191539,-120.444352,Not At-Risk,34,67,PRIVATE,COMMUNITY,10.1695234295216,54297,SDAC
CA0500027,LILI VALLEY WATER CO.,CALAVERAS,38.443463,-120.428221,Potentially At-Risk,70,99,PRIVATE,COMMUNITY,16.1393144317557,55139,SDAC
CA0500068,DUNROVIN MOBILE HOME VILLAGE,CALAVERAS,38.385904,-120.5402,Not At-Risk,37,99,PRIVATE,COMMUNITY,16.1393144317557,63468,DAC
CA0500075,LAKESIDE MOBILE ESTATES,CALAVERAS,38.311199,-120.507299,At-Risk,24,30,PRIVATE,COMMUNITY,16.1393144317557,70656,DAC
CA0500082,ANGELS CAMP RV/CAMPING RESORT,CALAVERAS,38.043871,-120.522066,Potentially At-Risk,102,288,PRIVATE,COMMUNITY,15.0061679054355,47720,SDAC
CA0500085,TOYON MIDDLE SCHOOL,CALAVERAS,38.21395,-120.756886,Not At-Risk,1,200,PRIVATE,NON-TRANSIENT NON-COMMUNITY,25.7441568806128,38750,SDAC
CA0500091,RITE OF PASSAGE/SIERRA RIDGE,CALAVERAS,38.172331,-120.537092,Potentially At-Risk,13,150,PRIVATE,COMMUNITY,25.7441568806128,52434,SDAC
CA0500095,VINE & BRANCH FELLOWSHIP,CALAVERAS,38.043636,-120.528656,Not Assessed,3,85,PRIVATE,NON-TRANSIENT NON-COMMUNITY,15.0061679054355,47720,SDAC
CA0510001,UNION PUBLIC UTILITY DISTRICT,CALAVERAS,38.141679,-120.443132,At-Risk,1735,4774,LOCAL,COMMUNITY,11.8718502529206,50219,SDAC
CA0510002,CALAVERAS PUD,CALAVERAS,38.249479,-120.700067,Potentially At-Risk,1972,6286,LOCAL,COMMUNITY,25.2123222551413,48564,SDAC
CA0510003,"ANGELS, CITY OF",CALAVERAS,38.073764,-120.553258,At-Risk,1975,3836,LOCAL,COMMUNITY,15.2838044174353,52853,SDAC
CA0510004,CCWD - SHEEP RANCH,CALAVERAS,38.17541,-120.456091,At-Risk,47,89,LOCAL,COMMUNITY,25.7441568806128,52434,SDAC
CA0510005,CCWD - WEST POINT,CALAVERAS,38.404187,-120.537809,Potentially At-Risk,572,1043,LOCAL,COMMUNITY,16.1393144317557,47190,SDAC
CA0510006,CCWD - JENNY LIND,CALAVERAS,38.123927,-120.858793,Not At-Risk,3867,9861,LOCAL,COMMUNITY,19.4208944994238,75097,DAC
CA0510009,BLUE LAKE SPRINGS MUT WTR,CALAVERAS,38.251857,-120.332199,Not At-Risk,1729,4841,PRIVATE,COMMUNITY,9.88618430006515,75020,DAC
CA0510010,VALLEY SPRINGS PUD,CALAVERAS,38.192558,-120.828628,Potentially At-Risk,263,900,LOCAL,COMMUNITY,21.0279986242838,24504,SDAC
CA0510011,SNOWSHOE SPRINGS ASSN.,CALAVERAS,38.29592,-120.27333,At-Risk,361,686,PRIVATE,COMMUNITY,NA,118750,Non-DAC
CA0510012,CAMANCHE SOUTH SHORE-EBMUD,CALAVERAS,38.22162,-120.922196,Not At-Risk,448,828,LOCAL,COMMUNITY,21.0279986242838,74515,DAC
CA0510016,CCWD - EBBETTS PASS,CALAVERAS,38.255527,-120.350112,Not At-Risk,5990,11545,LOCAL,COMMUNITY,9.04886212782159,87491,Non-DAC
CA0510017,CCWD - COPPER COVE,CALAVERAS,37.929111,-120.629251,Potentially At-Risk,2757,5187,LOCAL,COMMUNITY,20.5254887221349,86159,Non-DAC
CA0510019,CCWD - WALLACE,CALAVERAS,38.197211,-120.958317,Not At-Risk,108,255,LOCAL,COMMUNITY,21.0279986242838,67102,DAC
CA0600005,COLUSA CO. SERVICE AREA #2-STONYFORD,COLUSA,39.361473,-122.545125,At-Risk,57,250,LOCAL,COMMUNITY,18.451511990689,17321,SDAC
CA0600008,COLUSA CO. WWD #1 - GRIMES,COLUSA,39.072161,-121.896148,Failing,114,512,LOCAL,COMMUNITY,33.4077092940128,40066,SDAC
